,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
374,Morondava,MG,78.08000000000004,overcast clouds,-20.2833,44.2833,La Case Bambou
376,Meulaboh,ID,76.65800000000002,overcast clouds,4.1363,96.1285,Kost Pria
377,El Cobre,CU,80.042,scattered clouds,20.0489,-75.9469,Hotel El Cobre
384,Padilla,CO,83.76800000000009,overcast clouds,3.2204,-76.3139,La Granadina
388,Kavaratti,IN,82.292,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
394,Porto Novo,BJ,82.22000000000006,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
395,Cockburn Town,TC,78.76400000000004,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
400,Kahului,US,84.21800000000009,few clouds,20.8947,-156.47,Maui Seaside Hotel
411,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
412,Russell,US,79.97000000000006,clear sky,32.3502,-85.1999,Macs
418,Namatanai,PG,83.89400000000008,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
422,Charcas,MX,81.24800000000002,overcast clouds,23.1333,-101.1167,Hotel El Malacate
425,Bambous Virieux,MU,78.22400000000002,scattered clouds,-20.3428,57.7575,Casa Tia Villa
426,Tautira,PF,81.86000000000008,broken clouds,-17.7333,-149.15,Pension Oaoa
428,Bafq,IR,79.03399999999999,overcast clouds,31.6128,55.4107,Alamdar Hotel
433,Sabang,ID,82.90400000000005,overcast clouds,5.8933,95.3214,Hotel Citra
436,Sawai Madhopur,IN,83.60600000000002,overcast clouds,25.9833,76.3667,Sawai Madhopur Lodge – IHCL SeleQtions
437,Ostuacan,MX,86.792,broken clouds,17.4167,-93.3,HACIENDA JUAREZ
439,Inhambane,MZ,77.558,overcast clouds,-23.865,35.3833,Oceano
440,Makakilo City,US,80.924,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
449,Ternate,ID,81.80600000000004,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
453,San Patricio,US,84.16400000000004,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
461,Camocim,BR,78.40400000000005,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
464,Matara,LK,77.95400000000006,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
466,Bengkulu,ID,76.5680000000001,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
472,Keti Bandar,PK,79.19600000000005,scattered clouds,24.1447,67.4497,Haji laloo memon house
473,Malakal,SS,87.26000000000008,overcast clouds,9.5334,31.6605,Nile Palace Hotel
475,Cumaral,CO,76.02800000000008,light rain,4.2708,-73.4867,Finca El Jecho
479,Kralendijk,BQ,82.38200000000002,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
488,Phulji,PK,87.27800000000008,clear sky,26.8825,67.6807,Irfan hotel Phulji
489,Mecca,SA,80.43800000000005,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
490,Sibolga,ID,76.40600000000003,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
495,Wajir,KE,79.55600000000004,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
497,Pumiao,CN,75.59600000000006,few clouds,22.75,108.4833,Mushang Boutique Hotel
499,Loandjili,CG,78.11600000000001,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
504,Mitsamiouli,KM,81.68000000000004,scattered clouds,-11.3847,43.2844,Foyer ADM
505,Waingapu,ID,79.98800000000006,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
508,Savalou,BJ,78.15200000000007,overcast clouds,7.9281,1.9756,Hotel F&F
510,Batticaloa,LK,79.19600000000005,broken clouds,7.7102,81.6924,Grand Star Guest House
