City ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Saint-Philippe,RE,-21.3585,55.7679,298.92,88,60,6.97,light rain
124,Changping,CN,40.2186,116.2197,278.95,30,0,2.77,clear sky
125,New Norfolk,AU,-42.7826,147.0587,290.33,58,100,1.34,overcast clouds
126,Kieta,PG,-6.2167,155.6333,300.68,77,99,0.57,overcast clouds
127,Jurm,AF,36.8648,70.8342,286.95,66,73,0.38,broken clouds
128,Laguna De Perlas,NI,12.3429,-83.6712,302.2,74,25,5.4,scattered clouds
129,Verkhoyansk,RU,67.5447,133.385,258.45,97,95,0.66,overcast clouds
130,Port Elizabeth,ZA,-33.918,25.5701,290.98,95,40,7.2,scattered clouds
131,Gejiu,CN,23.306,103.1635,285.37,90,32,1.77,scattered clouds
132,Srednekolymsk,RU,67.45,153.6833,261.76,92,100,3.21,light snow
133,Ola,RU,59.5833,151.2833,267.63,66,100,1.69,overcast clouds
134,Hilo,US,19.7297,-155.09,301.08,77,75,3.09,light rain
135,Papara,BR,-3.9839,-38.7273,300.37,95,63,1.53,broken clouds
136,Areosa,PT,41.7178,-8.8571,285.59,88,9,4.64,clear sky
137,Caravelas,BR,-17.7125,-39.2481,299.88,83,6,4.2,clear sky
138,Leningradskiy,RU,69.3833,178.4167,261.16,92,98,5.33,overcast clouds
139,Vanimo,PG,-2.6741,141.3028,299.36,89,79,2.25,broken clouds
140,Sandeid,NO,59.5449,5.8636,281.75,93,79,1.51,broken clouds
141,Chimbote,PE,-9.0853,-78.5783,293.81,78,71,4.92,broken clouds
142,Acajutla,SV,13.5928,-89.8275,303.68,59,28,3.86,scattered clouds
143,Iracoubo,GF,5.4802,-53.2011,298.35,87,73,6.61,light rain
144,Walvis Bay,NA,-22.9575,14.5053,287.64,88,0,1.54,clear sky
145,Sosnogorsk,RU,63.6023,53.8817,269.32,91,53,1.56,broken clouds
146,Kavieng,PG,-2.5744,150.7967,301.56,76,67,5.25,light rain
147,Kuytun,RU,54.3419,101.5036,272.71,75,88,2.65,overcast clouds
148,Tual,ID,-5.6667,132.75,301.65,75,100,1.72,overcast clouds
149,Yar-Sale,RU,66.8333,70.8333,274.23,99,100,6.55,overcast clouds
150,Komsomolskiy,UZ,40.4272,71.7189,288.55,55,0,3.09,clear sky
151,Boende,CD,-0.2167,20.8667,293.81,100,99,1.08,overcast clouds
152,Svetlyy,RU,54.675,20.1347,281.18,97,100,2.65,overcast clouds
153,Fairbanks,US,64.8378,-147.7164,281.13,45,0,3.09,clear sky
154,Birao,CF,10.2849,22.7882,303.02,12,51,1.68,broken clouds
155,East London,ZA,-33.0153,27.9116,293.64,80,100,4.12,overcast clouds
156,Cherskiy,RU,68.75,161.3,265.1,90,100,0.8,light snow
157,Tiarei,PF,-17.5333,-149.3333,304.16,74,38,8.46,light rain
158,San Quintin,MX,30.4833,-115.95,291.59,56,4,9.02,clear sky
159,Khatanga,RU,71.9667,102.5,242.9,100,40,1.28,scattered clouds
160,Bonthe,SL,7.5264,-12.505,299.22,83,94,3.03,overcast clouds
161,Yellowknife,CA,62.456,-114.3525,268.87,56,75,4.12,broken clouds
162,Souillac,MU,-20.5167,57.5167,298.36,78,40,5.14,scattered clouds
163,Talnakh,RU,69.4865,88.3972,268.32,88,100,5.14,overcast clouds
164,Bethel,US,41.3712,-73.414,294.21,80,100,1.54,overcast clouds
165,Margate,GB,51.3813,1.3862,285.76,79,100,0.45,overcast clouds
166,Poum,NC,-20.2333,164.0167,298.26,82,91,0.92,overcast clouds
167,Mtwara,TZ,-10.2667,40.1833,298.11,91,100,3.19,light rain
168,Comodoro Rivadavia,AR,-45.8667,-67.5,293.07,52,0,2.57,clear sky
169,Lorengau,PG,-2.0226,147.2712,301.32,78,41,3.39,scattered clouds
170,Amsterdam,NL,52.374,4.8897,283.65,85,0,1.79,clear sky
171,Constitucion,CL,-35.3333,-72.4167,286.9,78,1,2.31,clear sky
172,Turka,UA,49.1541,23.0297,276.93,81,73,2.53,broken clouds
173,Zakharovo,RU,54.366,39.2792,275.57,82,1,3.48,clear sky
174,Tucumcari,US,35.1717,-103.725,296.06,5,0,10.29,clear sky
175,Lagoa,PT,39.05,-27.9833,289.1,73,3,8.88,clear sky
176,Ilulissat,GL,69.2167,-51.1,262.16,62,20,5.14,few clouds
