City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
23,Puerto Ayora,EC,2022-04-12 20:16:22,-0.7393,-90.3518,84.16,78,59,9.06
24,Andapa,MG,2022-04-12 20:16:22,-14.65,49.65,67.17,99,38,2.51
25,Kodiak,US,2022-04-12 20:16:22,57.79,-152.4072,42.31,75,20,9.22
26,Antofagasta,CL,2022-04-12 20:16:23,-23.65,-70.4,63.68,74,5,9.04
27,Busselton,AU,2022-04-12 20:16:23,-33.65,115.3333,55.63,86,0,9.1
28,Rikitea,PF,2022-04-12 20:16:23,-23.1203,-134.9692,79.3,69,6,17.31
29,Victoria,HK,2022-04-12 20:15:02,22.2855,114.1577,78.19,88,13,5.99
30,Kaitangata,NZ,2022-04-12 20:16:24,-46.2817,169.8464,47.01,81,100,5.03
31,Boone,US,2022-04-12 20:12:08,39.0334,-92.3335,83.25,78,97,19.33
32,Palencia,ES,2022-04-12 20:16:24,42.4167,-4.5,46.92,76,95,3.71
33,Hasaki,JP,2022-04-12 20:13:32,35.7333,140.8333,54.0,93,7,11.92
34,Shimonoseki,JP,2022-04-12 20:16:24,33.95,130.95,62.6,94,75,2.3
35,Luanda,AO,2022-04-12 20:16:25,-8.8368,13.2343,78.35,89,100,7.16
36,Axim,GH,2022-04-12 20:16:25,4.8699,-2.2405,81.55,81,100,11.39
37,Balkanabat,TM,2022-04-12 20:16:25,39.5108,54.3671,82.2,18,12,13.85
38,Marzuq,YE,2022-04-12 20:16:26,14.4,46.4667,74.23,23,0,7.05
39,Cayenne,GF,2022-04-12 20:16:26,4.9333,-52.3333,82.44,1,75,13.8
40,Rio Gallegos,AR,2022-04-12 20:16:26,-51.6226,-69.2181,57.25,35,40,36.82
41,Hermanus,ZA,2022-04-12 20:16:27,-34.4187,19.2345,65.07,81,67,2.26
42,Dingle,PH,2022-04-12 20:16:27,10.9995,122.6711,71.65,94,100,2.86
43,Hambantota,LK,2022-04-12 20:16:27,6.1241,81.1185,79.93,83,100,8.84
44,Cape Town,ZA,2022-04-12 20:16:28,-33.9258,18.4232,62.28,91,84,6.91
45,Moundou,TD,2022-04-12 20:16:28,8.5667,16.0833,87.69,42,79,8.86
46,Saint-Philippe,RE,2022-04-12 20:16:28,-21.3585,55.7679,76.59,87,95,17.2
47,Grand Gaube,MU,2022-04-12 20:17:29,-20.0064,57.6608,75.6,87,5,5.99
48,Toora-Khem,RU,2022-04-12 20:17:29,52.4675,96.11,16.84,93,27,2.33
49,Lata,PT,2022-04-12 20:17:29,40.1629,-8.3327,48.6,93,8,1.57
50,Faanui,PF,2022-04-12 20:17:29,-16.4833,-151.75,82.33,72,7,15.75
51,Mareeba,AU,2022-04-12 20:17:30,-17.0,145.4333,72.32,97,94,2.37
52,Thompson,CA,2022-04-12 20:17:30,55.7435,-97.8558,32.16,51,75,14.97
53,Iqaluit,CA,2022-04-12 20:17:30,63.7506,-68.5145,17.33,78,100,15.01
54,Lagoa,PT,2022-04-12 20:17:31,39.05,-27.9833,61.11,80,86,20.76
55,Pamyat Parizhskoy Kommuny,RU,2022-04-12 20:17:31,56.1048,44.4952,57.15,94,61,6.06
56,Mount Gambier,AU,2022-04-12 20:17:31,-37.8333,140.7667,46.06,95,0,3.76
57,Nouadhibou,MR,2022-04-12 20:17:32,20.931,-17.0347,66.18,77,3,20.71
58,Gashua,NG,2022-04-12 20:17:32,12.871,11.0482,94.08,26,97,11.95
59,Miracema Do Tocantins,BR,2022-04-12 20:17:32,-9.5618,-48.3967,85.15,72,55,1.45
60,Nishihara,JP,2022-04-12 20:17:33,26.1842,127.7558,72.68,94,75,9.22
61,Georgetown,MY,2022-04-12 20:15:08,5.4112,100.3354,80.53,89,40,1.14
62,Shenjiamen,CN,2022-04-12 20:17:33,29.9576,122.298,62.02,98,100,12.84
63,Ubinskoye,RU,2022-04-12 20:17:33,55.3068,79.6802,32.2,95,3,6.49
64,Torbay,CA,2022-04-12 20:15:09,47.6666,-52.7314,41.29,77,100,26.46
65,Launceston,AU,2022-04-12 20:17:34,-41.45,147.1667,46.15,96,16,1.14
66,Yellowknife,CA,2022-04-12 20:17:34,62.456,-114.3525,9.41,58,20,8.05
67,Shingu,JP,2022-04-12 20:17:34,33.7333,135.9833,64.87,91,100,4.03
68,Vila,PT,2022-04-12 20:17:35,42.0304,-8.1588,45.48,91,26,3.76
69,Qaqortoq,GL,2022-04-12 20:17:35,60.7167,-46.0333,39.15,47,100,9.55
70,Talnakh,RU,2022-04-12 20:17:35,69.4865,88.3972,33.21,96,100,14.97
71,Sorland,NO,2022-04-12 20:17:36,67.667,12.6934,39.11,82,82,11.23
72,New Norfolk,AU,2022-04-12 20:17:36,-42.7826,147.0587,51.71,68,6,1.01
